gameId,playerId,breakScore,round1,round2,final,coryat
920,1,5200,14400,51400,75000,37600
920,1874,400,2000,5600,1200,5800
920,1873,400,1200,4800,1800,4800
2732,1,4800,16000,42000,52000,30200
2732,5484,1800,2000,5200,4001,5200
2732,5483,0,0,2000,1200,2000
2731,1,9200,14000,26800,30000,22600
2731,5482,0,600,0,0,6600
2731,5481,0,4000,4400,8800,4400
2730,1,3800,10800,40600,29200,33200
2730,5480,0,2000,6400,6399,6400
2730,5479,200,200,2200,200,2200
2729,1,4000,8400,27800,35000,27600
2729,5478,0,2200,7800,6800,7800
2729,5477,4600,4000,8000,7900,7600
2485,1,4200,13200,40000,50000,30800
2485,4959,0,400,3200,6300,3200
2485,4958,200,2400,4800,3199,4800
2723,1,4800,4800,27600,28000,22800
2723,5465,1600,3700,4100,8199,4600
2723,5464,2000,3800,13400,8400,8200
2722,1,2000,4800,17200,17500,28400
2722,5463,2400,1600,4400,8400,4400
2722,5462,400,2600,8200,7599,8200
2721,1,6200,12600,46000,32000,37200
2721,5461,1600,3200,6400,2800,6400
2721,5460,400,1000,1400,0,1400
2705,1,6200,12400,34400,52000,29600
2705,5428,0,400,3200,100,3200
2705,5427,0,1700,3300,300,4600
2704,1,9800,12600,37000,52000,28600
2704,5426,-1800,-2400,1200,1200,1200
2704,5425,600,2400,5000,3000,3600
2703,1,4200,11100,29800,40000,24400
2703,5424,0,1600,8800,3800,8800
2703,5423,2000,3200,1800,3595,4800
2700,1,3600,9800,34000,40000,27400
2700,5418,3200,5200,13200,16399,13200
2700,5417,1800,2200,5000,300,5000
2699,1,3200,10000,22000,14000,22000
2699,5416,200,400,400,400,400
2699,5415,2400,4600,0,0,7000
2697,1,4600,7800,24800,19600,19000
2697,5412,2000,3000,1000,100,1000
2697,5411,800,2200,-4600,-4600,-4600
2696,1,5400,4800,18800,17600,22400
2696,5410,0,1800,-200,-200,-200
2696,5409,0,2600,6800,13600,5400
2695,1,1600,6400,35200,40000,30400
2695,5408,-1800,-1800,1400,1400,1400
2695,5407,3000,3000,8200,8200,8400
2694,1,6000,8400,30400,35000,28400
2694,5406,1800,4000,3600,1,3000
2694,5405,600,1000,10600,10600,10600
2693,1,3400,12000,29200,40000,26600
2693,5404,3800,3800,16200,2200,13400
2693,5403,-1400,-1000,600,500,600
2687,1,2800,7800,28000,21000,21800
2687,5392,2800,4200,7000,1,7000
2687,5391,1000,3600,9200,101,9200
2684,1,6400,8700,28200,48801,23800
2684,5384,1400,2600,4600,4600,4600
2684,5383,1800,7200,24400,44400,14400
2683,1,3800,7800,33399,40000,33800
2683,5382,800,4400,7200,1400,6000
2683,5381,3400,4000,6400,3400,6400
2682,1,7400,11200,30500,26000,24400
2682,5380,-200,1400,12200,13200,12200
2682,5379,0,1200,5200,0,5200
2678,1,5200,9200,22600,15200,24400
2678,5369,200,3000,7000,4399,7000
2678,5368,1800,1200,4800,7600,4800
2675,1,2400,8000,28400,31601,24000
2675,5363,4600,10400,15600,0,11800
2675,5362,400,400,-1800,-1800,400
1619,1,6200,9400,27000,30000,25400
1619,3277,-1200,3000,9800,14000,10000
1619,3276,0,1400,7000,4200,7000
1613,1,6800,10400,37000,34000,33200
1613,3265,0,600,5800,0,5800
1613,3264,-200,3600,9000,12000,7600
1612,1,3000,10000,32200,35000,28400
1612,3263,1600,1400,5000,3300,5000
1612,3262,2000,3400,6600,3199,6600
1611,1,6400,10400,35000,50000,32600
1611,3261,800,1600,2000,3000,2000
1611,3260,600,2200,5800,5800,5800
1610,1,5400,6800,22000,25000,26400
1610,3259,1200,5000,8200,8801,9200
1610,3258,1400,800,4400,600,4400
1594,1,4800,12800,38600,35158,35400
1594,3229,4200,5000,11800,20000,11800
1594,3228,0,600,1000,1000,1000
1587,1,5400,9600,40600,50000,39200
1587,3214,-1000,-600,-1400,-1400,-1400
1587,3213,4000,4600,9800,0,8600
1576,1,4400,12600,18800,25000,23400
1576,3191,0,2800,4400,8800,6800
1576,3190,2000,2400,1200,2400,1200
1552,1,4000,6600,32400,29799,30400
1552,3141,1600,6000,5200,3400,5200
1552,3140,3400,5400,17500,0,10200
1551,1,2600,7600,24800,30000,24400
1551,3139,800,2400,8400,13199,9400
1551,3138,3000,2400,1800,3599,3600
1539,1,6200,10200,33600,37000,30600
1539,3115,1000,4600,12200,10200,12200
1539,3114,600,2600,5000,2000,5000
1517,1,6400,10000,31000,22000,30000
1517,3075,800,1000,2400,3200,9000
1517,3074,400,800,1600,3198,1600
224,480,0,1800,7400,7401,9200
224,1,4600,8000,20000,37201,19600
224,479,2000,4800,18600,14801,14800
62,1,1600,10600,14400,8799,22400
62,120,2800,4800,10000,14401,10000
62,119,0,400,-2800,-2800,-2800
61,1,6000,9200,23200,29000,22600
61,118,-600,1400,8400,900,14600
61,117,0,-400,400,0,400
60,1,7200,12600,40800,31600,31600
60,116,600,1600,6000,6007,4800
60,115,2200,2000,2000,1981,2000
59,1,6400,12600,38400,50000,29400
59,114,-200,200,2600,200,2600
59,113,2000,3400,3200,3000,9400
58,1,6600,15000,44800,55099,36200
58,112,1400,3400,1400,1400,1400
58,111,1000,1800,2600,1900,2600
47,1,3000,3200,26800,30000,24400
47,95,1400,8600,11400,22800,9200
47,94,4400,5800,3400,6800,13400
46,1,7800,13000,24600,19200,28400
46,93,-200,1600,200,1,1200
46,92,1000,1400,1800,1300,1800
45,1,5000,5000,27600,33201,26600
45,91,1800,5800,16600,29100,16600
45,90,200,1400,200,1,200
44,1,6400,9600,42800,25600,36000
44,89,400,1400,2200,100,2200
44,88,1600,1600,4800,5100,4800
43,1,5800,10000,40000,50000,27200
43,87,1600,1800,9800,1,9800
43,86,0,-200,-2200,-2200,-2200
42,1,4200,11200,37600,45099,31800
42,85,1000,1800,3800,6001,3800
42,84,1200,3200,6800,2999,6800
41,1,2800,7600,30800,26600,29600
41,83,1800,3200,7600,1999,7600
41,82,600,3800,6600,13100,6600
40,1,4800,11000,25600,30000,26600
40,81,200,2600,7000,5300,7000
40,80,400,800,9600,5100,9600
39,1,2800,5600,26600,30000,21200
39,79,1000,3600,9600,4200,10800
39,78,2800,2600,1800,3599,1800
38,1,3400,9400,25200,34001,22200
38,77,2800,4600,17000,24401,17000
38,76,800,2000,12200,0,8400
37,1,2200,5400,18200,25000,17400
37,75,1600,1600,10800,5500,10800
37,74,0,400,-2400,-2400,-1400
36,1,5800,10400,27200,30000,27800
36,73,-200,800,5600,600,5600
36,72,2400,3800,11500,11201,10200
30,1,1800,11200,34600,40000,29400
30,56,-1000,-1200,7000,4800,5200
30,55,800,2200,4600,100,4600
29,1,7500,11300,24800,29900,22400
29,54,600,1600,6800,399,6800
29,53,200,1800,6600,0,5800
28,1,3200,7800,28200,28300,23600
28,52,2000,2400,14000,3000,11600
28,51,1600,2400,1200,2400,1200
27,1,5400,6000,26000,35000,27200
27,50,0,-200,4600,8100,4600
27,49,800,1800,400,400,1400
26,1,6200,9600,26000,35000,26000
26,48,800,1400,2400,4400,3000
26,47,400,2400,4000,4801,6000
25,1,4400,14000,45000,30000,36400
25,46,600,600,5400,5300,5400
25,45,-600,200,2600,5200,2600
24,1,7600,9400,33600,40000,27800
24,44,0,5000,10600,7199,9000
24,43,1400,2200,7000,3000,7000
23,1,4800,14200,49200,38400,32600
23,42,-200,-200,3400,6799,3400
23,41,1600,1400,4600,2220,4600
22,1,2400,5200,28600,35038,28800
22,40,2000,4600,9000,13500,9000
22,39,2000,2600,2200,1,2200
21,1,1200,7600,19700,29601,17600
21,38,2400,2400,14800,9900,15800
21,37,800,800,-800,-800,-800
10,1,5200,10200,38000,50000,35800
10,21,-1000,-1000,1000,1800,1000
10,20,200,-200,2600,3199,2600
9,1,3800,9000,23600,30000,20400
9,19,-1000,1600,6200,10601,5200
9,18,-400,1000,5800,300,5800
8,1,6000,11400,43800,37600,37000
8,17,0,800,1700,0,3200
8,16,400,0,4400,5000,6400
7,1,5000,11200,31000,40000,26800
7,15,1000,1800,3400,3500,4800
7,14,0,200,1400,2799,1400
6,1,6000,16600,38800,45000,32200
6,13,0,0,2000,3999,2000
6,12,0,1800,-4800,-4800,-1800
5,1,5800,13600,28600,30000,28600
5,11,0,600,2600,1,2600
5,10,3200,6000,6000,6000,6000
4,1,4800,8100,28400,21800,33400
4,9,600,400,5200,5200,5200
4,8,600,3000,9400,8399,9400
3,1,7200,16400,33600,27200,26400
3,7,800,1600,8800,8800,8800
3,6,1000,1000,3200,200,4200
2,1,1800,5800,28400,21800,25800
2,5,1000,2200,9600,0,7400
2,4,-800,6000,10800,19201,8800
1,1,4800,13800,31600,10001,29600
1,3,1600,800,3200,1399,3200
1,2,1800,3400,5000,3599,5000
